ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
189.202.206.122,2,"('19.4342', '-99.0559')",19.4342,-99.0559,OTHER,2497.333213206468,2511.975793258948
86.166.42.95,12,"('51.621', '-0.051')",51.621,-0.051,OTHER,8756.027739502659,8759.555295918222
72.195.187.126,2,"('32.8458', '-83.6762')",32.8458,-83.6762,OTHER,3198.9115695135706,3212.317317645137
68.61.107.173,3,"('43.0213', '-85.6064')",43.0213,-85.6064,OTHER,2991.4729838728726,3001.298621826193
24.12.3.46,6,"('41.8957', '-87.8652')",41.8957,-87.8652,OTHER,2789.897672175787,2800.1189353095515
79.180.198.20,10,"('32.7632', '34.9779')",32.7632,34.9779,OTHER,12080.45406307087,12081.260423574238
174.234.152.137,3,"('44.9427', '-93.2871')",44.9427,-93.2871,OTHER,2450.5335515231523,2458.691643562047
89.39.81.246,4,"('47.9371', '25.6844')",47.9371,25.6844,OTHER,10222.002959479105,10222.73270635891
68.6.82.71,2,"('34.445', '-119.8046')",34.445,-119.8046,OTHER,147.3403408230579,132.17914488445754
47.186.119.184,6,"('33.0032', '-96.5434')",33.0032,-96.5434,OTHER,2015.1218919214255,2029.0564376057603
104.28.215.70,8,"('22.2842', '114.1759')",22.2842,114.1759,OTHER,11651.015921190996,11636.779597582792
199.176.224.196,6,"('43.4587', '-85.9673')",43.4587,-85.9673,OTHER,2970.293302055359,2979.9061125544827
129.137.96.10,6,"('39.1417', '-84.5172')",39.1417,-84.5172,OTHER,3050.2483610129716,3061.6908131787736
50.202.143.70,8,"('35.8585', '-84.1206')",35.8585,-84.1206,OTHER,3105.103062926024,3117.674879377506
149.167.63.179,6,"('-33.9074', '151.1561')",-33.9074,151.1561,OTHER,12074.909329349404,12065.025000182217
24.197.104.109,2,"('36.4038', '-78.9706')",36.4038,-78.9706,OTHER,3556.8927029999127,3569.145336491787
142.114.112.186,2,"('43.693', '-79.8365')",43.693,-79.8365,OTHER,3463.3865544166233,3473.134651212404
110.32.82.11,2,"('-27.7397', '153.138')",-27.7397,153.138,OTHER,11566.141722358772,11555.356382326465
207.195.138.70,8,"('39.1114', '-100.8595')",39.1114,-100.8595,OTHER,1652.669493305509,1663.331064120537
174.240.18.103,4,"('33.4475', '-112.0866')",33.4475,-112.0866,OTHER,576.6861840324133,591.2921788671314
35.147.85.163,6,"('29.4152', '-98.4192')",29.4152,-98.4192,OTHER,1944.090182312539,1958.9985434537953
60.241.63.54,2,"('-32.039', '115.8114')",-32.039,115.8114,OTHER,15026.817478042867,15014.194256869347
63.143.61.13,2,"('34.0544', '-118.2441')",34.0544,-118.2441,USC,5.2175087128524185,18.110600028584923
78.131.9.231,8,"('47.5374', '21.6514')",47.5374,21.6514,OTHER,10106.122634342753,10107.522361049481
162.253.129.39,3,"('43.6922', '-79.4309')",43.6922,-79.4309,OTHER,3495.8798555769117,3505.6374320952714
62.83.83.48,2,"('40.43', '-3.6691')",40.43,-3.6691,OTHER,9368.973596584063,9375.048513053016
49.185.189.148,8,"('-37.8008', '144.9876')",-37.8008,144.9876,OTHER,12766.563258585313,12756.938674696585
74.109.184.90,2,"('42.789', '-73.9759')",42.789,-73.9759,OTHER,3934.1884043292225,3944.3179719531595
73.206.30.99,2,"('29.5799', '-95.6085')",29.5799,-95.6085,OTHER,2194.2766169069873,2209.0153695093927
166.122.203.21,2,"('21.3042', '-157.8588')",21.3042,-157.8588,OTHER,4115.764800230139,4102.648093989847
64.202.81.249,6,"('41.1682', '-73.2689')",41.1682,-73.2689,OTHER,3999.2623577799613,4009.9198804412244
192.63.25.208,4,"('30.5167', '-94.4435')",30.5167,-94.4435,OTHER,2269.922706852469,2284.417339195987
72.192.179.191,2,"('32.7405', '-117.0935')",32.7405,-117.0935,OTHER,180.46403832303287,193.5732724398333
75.83.37.59,8,"('34.1712', '-118.5186')",34.1712,-118.5186,OTHER,27.097632177706164,13.388292669946916
70.120.224.71,6,"('31.7775', '-106.4903')",31.7775,-106.4903,OTHER,1128.4420084475507,1143.3361760042853
138.51.92.33,4,"('43.6638', '-79.3999')",43.6638,-79.3999,OTHER,3498.1171152801803,3507.8863393267284
107.15.178.172,2,"('35.7178', '-78.8428')",35.7178,-78.8428,OTHER,3579.061686881734,3591.5061629095712
104.33.232.209,2,"('34.1856', '-119.2137')",34.1856,-119.2137,OTHER,87.36304326759006,72.3845526653516
